resort_id,resort_name,check_in,check_out,total_available_units,unit_types_available,min_points_required,max_points_required,accommodation_options
73,WorldMark Rocky Mountain Preserve,2025-12-19,2025-12-24,3,1 BEDROOM,151000,151000,1
73,WorldMark Steamboat Springs,2026-01-18,2026-01-21,4,1 BEDROOM,48000,48000,1
74,Club Wyndham Ocean Boulevard,2026-03-09,2026-03-14,223,"2 BEDROOM, 3 BEDROOM, 1 BEDROOM",45000,113500,15
75,Club Wyndham Glacier Canyon,2026-03-30,2026-04-01,83,"1 BEDROOM, 2 BEDROOM, 3 BEDROOM",28000,56000,4
75,Club Wyndham Tamarack,2025-12-13,2025-12-15,7,"1 BEDROOM, 2 BEDROOM",24500,28750,2
75,Club Wyndham Tamarack,2026-06-19,2026-06-27,4,"1 BEDROOM, 2 BEDROOM",127500,186000,2
75,Club Wyndham Tamarack,2026-06-20,2026-06-26,4,"1 BEDROOM, 2 BEDROOM",82500,122000,2
75,Club Wyndham Tamarack,2026-06-20,2026-06-27,4,"1 BEDROOM, 2 BEDROOM",105000,154000,2
76,Club Wyndham Moab,2025-12-28,2026-01-02,5,"2 BEDROOM, 3 BEDROOM",180000,225000,2
76,Club Wyndham Moab,2025-12-29,2026-01-03,5,"2 BEDROOM, 3 BEDROOM",204000,255000,2
76,Club Wyndham Pagosa,2025-12-06,2025-12-10,314,"1 BEDROOM, 2 BEDROOM",38500,89000,10
76,Club Wyndham Pagosa,2025-12-16,2025-12-22,71,"2 BEDROOM, 1 BEDROOM",69000,160500,7
76,Club Wyndham Pagosa,2025-12-18,2025-12-22,71,"2 BEDROOM, 1 BEDROOM",55000,126500,7
76,Club Wyndham Pagosa,2025-12-20,2025-12-24,7,"1 BEDROOM, 2 BEDROOM",52500,111000,3
76,Club Wyndham Pagosa,2025-12-21,2025-12-26,7,"1 BEDROOM, 2 BEDROOM",52500,112500,3
76,Club Wyndham Pagosa,2025-12-22,2025-12-27,1,1 BEDROOM,70500,70500,1
76,Club Wyndham Pagosa,2026-01-04,2026-01-09,52,"1 BEDROOM, 2 BEDROOM",30000,75000,6
76,Club Wyndham Pagosa,2026-01-04,2026-01-10,52,"1 BEDROOM, 2 BEDROOM",39500,100500,6
76,Club Wyndham Pagosa,2026-01-05,2026-01-10,80,"1 BEDROOM, 2 BEDROOM",33500,101000,9
76,Club Wyndham Pagosa,2026-02-01,2026-02-05,133,"1 BEDROOM, 2 BEDROOM",24000,68000,12
76,Club Wyndham Pagosa,2026-02-06,2026-02-09,122,"1 BEDROOM, 2 BEDROOM",25000,90000,10
76,Club Wyndham Pagosa,2026-03-08,2026-03-12,340,"1 BEDROOM, 2 BEDROOM",28000,78000,12
76,Club Wyndham Pagosa,2026-03-15,2026-03-20,255,"1 BEDROOM, 2 BEDROOM",35000,97500,11
76,Club Wyndham Pagosa,2026-03-16,2026-03-20,255,"1 BEDROOM, 2 BEDROOM",28000,78000,11
76,WorldMark Estes Park,2025-12-23,2025-12-30,1,STUDIO,116000,116000,1
76,WorldMark Estes Park,2025-12-26,2025-12-30,1,STUDIO,74000,74000,1
76,WorldMark Pagosa,2025-12-22,2025-12-29,5,1 BEDROOM,109000,109000,1
76,WorldMark St. George,2025-12-28,2026-01-02,5,1 BEDROOM,80000,90000,2
76,WorldMark St. George,2025-12-29,2026-01-03,1,1 BEDROOM,95000,95000,1
76,WorldMark West Yellowstone,2025-12-28,2026-01-02,30,"1 BEDROOM, 2 BEDROOM, STUDIO",100000,130000,4
76,WorldMark West Yellowstone,2025-12-29,2026-01-03,22,"1 BEDROOM, 2 BEDROOM, STUDIO",100000,135500,4
76,WorldMark Wolf Creek,2025-12-28,2026-01-02,2,STUDIO,70000,70000,1
76,WorldMark Wolf Creek,2025-12-29,2026-01-03,2,STUDIO,79000,79000,1
77,Club Wyndham Cypress Palms,2025-10-12,2025-10-18,17,1 BEDROOM,23400,33000,2
77,Club Wyndham Cypress Palms,2025-10-14,2025-10-21,8,1 BEDROOM,30800,30800,1
77,Club Wyndham Cypress Palms,2025-10-23,2025-10-26,46,1 BEDROOM,18000,22800,2
77,Club Wyndham Cypress Palms,2025-10-23,2025-10-28,45,1 BEDROOM,24400,32400,2
77,Club Wyndham Cypress Palms,2025-10-23,2025-10-30,3,1 BEDROOM,30800,30800,1
77,Club Wyndham Cypress Palms,2025-10-25,2025-10-29,45,1 BEDROOM,17000,23400,2
77,Club Wyndham Cypress Palms,2025-10-30,2025-11-06,1,1 BEDROOM,30800,30800,1
77,Club Wyndham Cypress Palms,2025-11-11,2025-11-15,23,"1 BEDROOM, 2 BEDROOM",21000,34400,3
77,Club Wyndham Cypress Palms,2025-11-30,2025-12-06,20,1 BEDROOM,28400,31800,2
77,Club Wyndham Cypress Palms,2025-12-01,2025-12-07,20,1 BEDROOM,31600,34800,2
77,Club Wyndham Cypress Palms,2025-12-02,2025-12-10,9,1 BEDROOM,37000,37000,1
77,Club Wyndham Cypress Palms,2025-12-19,2025-12-21,74,"1 BEDROOM, 2 BEDROOM",42000,95000,4
77,Club Wyndham Emerald Grande at Destin,2025-11-06,2025-11-17,7,3 BEDROOM,213200,229600,2
77,Club Wyndham Kingstown Reef,2025-12-19,2025-12-21,1,1 BEDROOM,130000,130000,1
77,Club Wyndham Ocean Walk,2025-12-31,2026-01-04,12,"1 BEDROOM, 2 BEDROOM",57000,114000,2
77,Club Wyndham Orlando International,2025-12-19,2025-12-21,8,2 BEDROOM,60500,60500,1
77,Club Wyndham Palm-Aire,2025-11-06,2025-11-17,27,"1 BEDROOM, 2 BEDROOM, STUDIO",67200,121600,5
