resort_id,check_in,check_out,resort_name,offering_name,unit_type,unit_name,product_id,original_points,current_points,available_count,savings,discount_percentage,extraction_date,fetch_timestamp
69,2025-12-20,2025-12-23,Club Wyndham Mountain Vista,Mountain Vista,2 BEDROOM,2 Bedroom Deluxe,PI|R000000000067,34500,34500,27,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:18.455257
69,2025-12-20,2025-12-23,Club Wyndham Mountain Vista,Mountain Vista,2 BEDROOM,2 Bedroom Lockoff,PI|R000000000067,50750,50750,7,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:18.455257
69,2025-12-20,2025-12-23,Club Wyndham Mountain Vista,Mountain Vista,STUDIO,Studio Deluxe,PI|R000000000067,21500,21500,10,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:18.455257
69,2025-12-20,2025-12-24,Club Wyndham Mountain Vista,Mountain Vista,1 BEDROOM,1 Bedroom Deluxe,PI|R000000000067,36750,36750,4,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:16.506375
69,2025-12-20,2025-12-24,Club Wyndham Mountain Vista,Mountain Vista,2 BEDROOM,2 Bedroom Deluxe,PI|R000000000067,42500,42500,27,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:16.506375
69,2025-12-20,2025-12-24,Club Wyndham Mountain Vista,Mountain Vista,2 BEDROOM,2 Bedroom Lockoff,PI|R000000000067,64250,64250,6,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:16.506375
69,2025-12-20,2025-12-24,Club Wyndham Mountain Vista,Mountain Vista,STUDIO,Studio Deluxe,PI|R000000000067,27500,27500,7,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:16.506375
69,2025-12-21,2025-12-24,Club Wyndham Mountain Vista,Mountain Vista,1 BEDROOM,1 Bedroom Deluxe,PI|R000000000067,22500,22500,4,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:20.471436
69,2025-12-21,2025-12-24,Club Wyndham Mountain Vista,Mountain Vista,2 BEDROOM,2 Bedroom Deluxe,PI|R000000000067,24000,24000,27,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:20.471436
69,2025-12-21,2025-12-24,Club Wyndham Mountain Vista,Mountain Vista,2 BEDROOM,2 Bedroom Lockoff,PI|R000000000067,40500,40500,6,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:20.471436
69,2025-12-21,2025-12-24,Club Wyndham Mountain Vista,Mountain Vista,3 BEDROOM,3 Bedroom Deluxe,PI|R000000000067,45000,45000,2,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:20.471436
69,2025-12-21,2025-12-24,Club Wyndham Mountain Vista,Mountain Vista,STUDIO,Studio Deluxe,PI|R000000000067,18000,18000,7,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:20.471436
69,2025-12-21,2025-12-26,Club Wyndham Mountain Vista,Mountain Vista,1 BEDROOM,1 Bedroom Deluxe,PI|R000000000067,37500,37500,4,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:22.554442
69,2025-12-21,2025-12-26,Club Wyndham Mountain Vista,Mountain Vista,2 BEDROOM,2 Bedroom Deluxe,PI|R000000000067,40000,40000,25,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:22.554442
69,2025-12-21,2025-12-26,Club Wyndham Mountain Vista,Mountain Vista,2 BEDROOM,2 Bedroom Lockoff,PI|R000000000067,67500,67500,6,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:22.554442
69,2025-12-21,2025-12-26,Club Wyndham Mountain Vista,Mountain Vista,3 BEDROOM,3 Bedroom Deluxe,PI|R000000000067,75000,75000,2,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:22.554442
69,2025-12-21,2025-12-26,Club Wyndham Mountain Vista,Mountain Vista,STUDIO,Studio Deluxe,PI|R000000000067,30000,30000,7,0,0.0,2025-10-05 15:48:43,2025-10-05T15:36:22.554442
70,2025-11-24,2025-12-01,Club Wyndham Cypress Palms,Cypress Palms,1 BEDROOM,1 Bedroom,PI|R000000000049,94500,37800,1,56700,60.0,2025-10-05 15:48:43,2025-10-05T15:36:25.509334
70,2025-11-27,2025-12-01,Club Wyndham Cypress Palms,Cypress Palms,1 BEDROOM,1 Bedroom,PI|R000000000049,63000,25200,1,37800,60.0,2025-10-05 15:48:43,2025-10-05T15:36:28.339733
70,2025-12-04,2025-12-08,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom,PI|R000000000005,64500,25800,7,38700,60.0,2025-10-05 15:48:43,2025-10-05T15:36:30.672411
70,2025-12-04,2025-12-08,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Deluxe,PI|R000000000005,70000,28000,17,42000,60.0,2025-10-05 15:48:43,2025-10-05T15:36:30.672411
70,2025-12-04,2025-12-08,Club Wyndham Ocean Walk,Ocean Walk,1 BEDROOM,1 Bedroom Suite,PI|R000000000005,54000,21600,29,32400,60.0,2025-10-05 15:48:43,2025-10-05T15:36:30.672411
70,2025-12-04,2025-12-08,Club Wyndham Ocean Walk,Ocean Walk,2 BEDROOM,2 Bedroom Deluxe,PI|R000000000005,103500,41400,26,62100,60.0,2025-10-05 15:48:43,2025-10-05T15:36:30.672411
