ResortId,Resort,RoomTypeID,RoomType,PropertyTypeId,PropertyType,BedroomID,BedType,Name,Resort name in tzort ,Resort Name in wyndham,resort id in wyndham onwner site
147,Avon Resort,4,Presidential,12,,2,1 Bed,Club Wyndham Resort at Avon - 1 Bedroom Presidential,Avon Resort,Club Wyndham Resort at Avon,171.0
147,Avon Resort,4,Presidential,12,,3,2 Beds,Club Wyndham Resort at Avon - 2 Bedroom Presidential,Avon Resort,Club Wyndham Resort at Avon,171.0
147,Avon Resort,4,Presidential,12,,4,3 Beds,Club Wyndham Resort at Avon - 3 Bedroom Presidential,Avon Resort,Club Wyndham Resort at Avon,171.0
148,Fairfield Sapphire Valley,3,Suite,12,,2,1 Bed,Club Wyndham Resort at Fairfield Sapphire Valley - 1 Bedroom Suite,Fairfield Sapphire Valley,Club Wyndham Resort at Fairfield Sapphire Valley,81.0
148,Fairfield Sapphire Valley,2,Deluxe,12,,3,2 Beds,Club Wyndham Resort at Fairfield Sapphire Valley - 2 Bedroom Condo,Fairfield Sapphire Valley,Club Wyndham Resort at Fairfield Sapphire Valley,81.0
149,Royal Sea Cliff Resort,2,Deluxe,12,,2,1 Bed,Club Wyndham Royal Sea Cliff - 1 Bedroom Deluxe,Royal Sea Cliff Resort,Club Wyndham Royal Sea Cliff,83.0
149,Royal Sea Cliff Resort,2,Deluxe,12,,3,2 Beds,Club Wyndham Royal Sea Cliff - 2 Bedroom Deluxe,Royal Sea Cliff Resort,Club Wyndham Royal Sea Cliff,83.0
150,Royal Vista Resort,2,Deluxe,12,,2,1 Bed,Wyndham Royal Vista - 1 Bedroom Condo,Royal Vista Resort,Club Wyndham Royal Vista,84.0
150,Royal Vista Resort,2,Deluxe,12,,3,2 Beds,Wyndham Royal Vista - 2 Bedroom Condo,Royal Vista Resort,Club Wyndham Royal Vista,84.0
151,Wyndham Santa Barbara,1,Standard,12,,1,Studio,Club Wyndham Santa Barbara - Studio,Wyndham Santa Barbara,Club Wyndham Santa Barbara,85.0
151,Wyndham Santa Barbara,1,Standard,12,,2,1 Bed,Club Wyndham Santa Barbara - 1 Bedroom,Wyndham Santa Barbara,Club Wyndham Santa Barbara,85.0
152,Sea Gardens Resort,1,Standard,20,Condo,1,Studio,Wyndham Sea Gardens - Studio Condo,Sea Gardens Resort,Club Wyndham Sea Gardens,86.0
